Ano;Fecha;Punto de muestreo;Rio;OD (%);pH;DQO (mg/L);CE (microS/cm);SST (mg/L)
2018;Septiembre 25 de 2018;Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia);Cali;94.25;7.67;12;387;7
2018;Marzo 15 de 2018;Salida perimetro urbano (Puente  Via Club Deportivo Cali);Pance;93.07;7.91;12;24;7
2018;Marzo 22 de 2018;Intermedio (Pasoancho, Cra 80 Con Cll13);MeleNaNez;91.71;7.54;12;91;7
2016;Agosto 3 de 2016;Entrada al perimetro urbano (Via a La Buitrera, puente Base Militar);MeleNaNez;84.8;7.72;12;120.4;7
2018;Septiembre 28 de 2018;Intermedio (Despues de la Quebrada el Chocho  En el Sifon);Aguacatal;84.28;7.97;16.69;434;7
2018;Septiembre 11 de 2018;Intermedio (Pasoancho, Cra 80 Con Cll13);MeleNaNez;80.32;7.36;12;144;7
2016;Agosto 3 de 2016;Intermedio (Pasoancho, Cra 80 Con Cll13);MeleNaNez;76.41;7.62;12;125;7
2018;Septiembre 7 de 2018;Salida (Despues del puente via panamericana)**;Lili;73.81;6.81;12;228;7
2016;Agosto 1 de 2016;Salida del perimetro urbano(Puente via Panamericana Cali-Popayan);Lili;71.89;6.65;13;199.1;7
2018;Junio 21 de 2018;Entrada al perimetro urbano (Colegio Ideas);Canaveralejo;71.64;7.55;15.54;196.3;7
2016;Agosto 2 de 2016;Entrada al perimetro urbano (Colegio Ideas);Canaveralejo;70.01;7.63;12;202.4;7
2016;Agosto 3 de 2016;Intermedio  (Av Simon Bolivar, Cra 80 Simon Bolivar);MeleNaNez;69.26;7.3;12;121.4;7
2016;Agosto 1 de 2016;Intermedio (Cl 16-Cra-102. 100m despues de la descarga PSMV-LV31);Lili;68.26;6.61;12;226;7
2016;Agosto 2 de 2016;Intermedio  (Plaza de Toros);Canaveralejo;65.56;7.67;12;211.8;7
2018;Septiembre 11 de 2018;Entrada al perimetro urbano (V�a Polvorines puente entrada base militar);MeleNaNez;62.94;7.65;12;122;7
2018;Marzo 22 de 2018;Intermedio  (Av Simon Bolivar, Cra 80 Simon Bolivar);MeleNaNez;60.68;7.23;17.9;137;7
2017;Mayo 30 de 2017;Entrada al perimetro urbano (Bocatoma Acueducto San Antonio);Cali;59.35;7.56;12;104;7
2017;Abril 3 de 2017;Entrada perimetro urbano K122 Av 10 de Mayo**;Pance;57.57;7;12;40;7
2016;Agosto 3 de 2016;Salida del perimetro urbano (Aguas del Sur - PTAR Caney);MeleNaNez;54.81;7.29;35.5;241;7
2017;Abril 5 de 2017;Entrada al perimetro urbano (Puente Azul);Aguacatal;54.74;8.16;12;247;7
2017;Abril 5 de 2017;Intermedio (Despues de la Quebrada el Chocho  En el Sifon);Aguacatal;51.68;8.15;12;400;7
2018;Septiembre 11 de 2018;Intermedio  (Av Simon Bolivar, Cra 80 Simon Bolivar);MeleNaNez;46.52;7.26;13.81;165;7
2016;Agosto 1 de 2016;Entrada al perimetro urbano (Finca Pasto Forraje via la Buitrera);Lili;46.29;4;12;448;7
2016;Diciembre 5 de 2016;Intermedio (Mina Material de arrastre, Entrada via destapada);Pance;101.64;7.15;12;35.4;7.12
2017;Diciembre 29 de 2017;Salida(El Ancla, antes de desembocar el Rio Cali);Aguacatal;76.38;7.44;12;400;7.2
2015;Septiembre 4 de 2015;Intermedio (Despues de la Quebrada el Chocho  En el Sifon);Aguacatal;75.85;7.64;24.6;530;7.25
2016;Agosto 1 de 2016;Salida ( Puente La Viga, Via Canas Gordas);Pance;103.23;8.4;12;47.4;7.3
2017;Abril 5 de 2017;Salida (El Ancla, antes de desembocar el Rio Cali);Aguacatal;47.45;6.12;12;380;7.43
2018;Junio 21 de 2018;Intermedio  (Plaza de Toros);Canaveralejo;44.33;7.43;30.78;239;7.43
2013;NaN;Entrada al perimetro urbano (Bocatoma Acueducto San Antonio);Cali;7.74;7.29;7.03;131;7.43
2017;Abril 25 de 2017;Salida del perimetro urbano (Aguas del Sur - PTAR Caney);MeleNaNez;45.73;7.2;12;36;7.87
2017;Abril 3 de 2017;Salida perimetro urbano K 127 Av  el Banco**;Pance;45.73;7.2;12;36;7.87
2012;NaN;Entrada al perimetro urbano (Puente Azul);Aguacatal;117.71;7.64;22.3;205;8
2017;Diciembre 29 de 2017;Entrada al perimetro urbano (Via a La Buitrera, puente Base Militar);MeleNaNez;83.9;7.72;12;65;8.2
2017;Abril 4 de 2017;Salida (Despues del puente via panamericana)**;Lili;69.92;6.98;12;151;8.5
2014;Junio 29 del 2014;Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia);Cali;7.03;7.05;24.26;342;8.75
2013;NaN;Intermedio  (Av Simon Bolivar, Cra 80 Simon Bolivar);MeleNaNez;4.37;6.93;21;148.3;8.83
2013;NaN;Salida del perimetro urbano(Puente via Panamericana Cali-Popayan);Lili;5.95;6.65;11.04;247;8.87
2013;NaN;Salida del perimetro urbano (Aguas del Sur - PTAR Caney);MeleNaNez;4.66;7.11;27;158.3;8.93
2013;NaN;Entrada al perimetro urbano(Puente Sede DeporCali);Pance;6.89;7.6;8;41.9;9.26
2014;Junio 29 del 2014;Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A));Cali;9.1;8.51;39.55;289;9.5
2017;Diciembre 29 de 2017;Intermedio (Pasoancho, Cra 80 Con Cll13);MeleNaNez;87.43;7.72;12;66.3;9.6
2017;Abril 25 de 2017;Entrada al perimetro urbano (Via a La Buitrera, puente Base Militar);MeleNaNez;81.83;7.3;12;60;9.62
2017;Diciembre 29 de 2017;Salida del perimetro urbano (Aguas del Sur - PTAR Caney);MeleNaNez;73.75;7.61;12;95;9.8
2016;Diciembre 5 de 2016;Salida del perimetro urbano(Puente via Panamericana Cali-Popayan);Lili;57.35;6.57;12.32;162.2;9.8
2018;Marzo 22 de 2018;Entrada al perimetro urbano (Via Polvorines puente entrada base militar);MeleNaNez;94.51;7.19;12;83;9.83
2017;Diciembre 29 de 2017;Intermedio  (Av Simon Bolivar, Cra 80 Simon Bolivar);MeleNaNez;67.18;7.82;12;97.1;10
2014;Agosto 13 del 2014;Salida(El Ancla, antes de desembocar el Rio Cali);Aguacatal;7.69;7.6;23.28;557;10
2017;Abril 25 de 2017;Intermedio  (Av Simon Bolivar, Cra 80 Simon Bolivar);MeleNaNez;56.84;7.73;12;73;10.16
2012;NaN;Salida ( Puente La Viga, Via Canas Gordas);Pance;98.02;6.08;130.1;38;10.4
2017;Diciembre 21 de 2017;Entrada (Finca El Forraje - Via la Buitrera - Inicio del perimetro urbano)**;Lili;74.75;6.83;12;352;10.4
2017;Abril 25 de 2017;Intermedio (Pasoancho, Cra 80 Con Cll13);MeleNaNez;63.03;7.62;12;67;10.75
2018;Septiembre 26 de 2018;Intermedio  (Plaza de Toros);Canaveralejo;54.78;7.84;15.25;255;10.83
